date,areaName,Government expenditure on education(% of GDP)
2013-07-05,United kingdom,12.00
2013-07-05,Brazil,5.86
2013-07-05,India,3.87
2013-07-05,USA,4.99
2013-07-05,Germany,4.96
2013-07-05,Argentina,4.08
2013-07-05,China,5.35
2014-07-05,United kingdom,13.67
2014-07-05,Brazil,6.30
2014-07-05,India,4.60
2014-07-05,USA,4.96
2014-07-05,Argentina,5.35
2014-07-05,China,4.10
2015-07-05,United kingdom,13.84
2015-07-05,Brazil,4.06
2015-07-05,India,2.98
2015-07-05,USA,5.21
2015-07-05,Germany,2.83
2015-07-05,Argentina,3.84
2015-07-05,China,4.32
2016-07-05,United kingdom,6.10
2016-07-05,Brazil,6.24
2016-07-05,India,3.29
2016-07-05,USA,5.55
2016-07-05,Germany,4.86
2016-07-05,Argentina,5.78
2016-07-05,China,3.82
2017-07-05,United kingdom,5.44
2017-07-05,Brazil,6.32
2017-07-05,India,3.45
2017-07-05,USA,2.63
2017-07-05,Germany,4.88
2017-07-05,Argentina,5.45
2017-07-05,China,3.67
