observation_date,Population Growth for Argentina,Population Growth for India,Population Growth for Brazil,Population Growth for  China
01/01/2000,1.10,1.77,1.42,0.79
01/01/2001,1.09,1.73,1.37,0.73
01/01/2002,1.08,1.69,1.31,0.67
01/01/2003,1.07,1.65,1.26,0.62
01/01/2004,1.06,1.62,1.20,0.59
01/01/2005,1.04,1.58,1.15,0.59
01/01/2006,1.02,1.55,1.09,0.56
01/01/2007,1.00,1.51,1.04,0.52
01/01/2008,0.99,1.46,0.99,0.51
01/01/2009,1.00,1.41,0.96,0.50
01/01/2010,0.75,1.35,0.94,0.48
01/01/2011,1.15,1.29,0.92,0.48
01/01/2012,1.14,1.23,0.89,0.49
01/01/2013,1.12,1.18,0.87,0.49
01/01/2014,1.10,1.15,0.86,0.51
01/01/2015,1.08,1.12,0.84,0.51
01/01/2016,1.06,1.09,0.82,0.54
01/01/2017,1.04,1.06,0.81,0.56
01/01/2018,1.02,1.04,0.78,0.46
01/01/2019,0.99,1.01,0.75,0.36
01/01/2020,0.97,0.99,0.71,0.31
